lock_id,user_id,lock_datetime
514398,10034269,2022-10-02 18:15:22.934654
522276,10255045,2022-12-10 17:25:19.501565
520674,10157248,2022-11-28 21:32:46.776564
520042,10295389,2022-09-16 23:19:00.526480
527332,10267633,2022-11-17 07:28:13.848280
500984,10116964,2022-10-31 02:55:51.352967
519056,10044787,2022-10-12 09:41:41.395559
507520,10105192,2022-09-22 23:58:54.205311
515838,10253176,2022-09-08 00:31:40.793534
511110,10155553,2022-09-14 14:01:56.398154
526962,10090582,2022-12-23 06:38:32.981570
507282,10107049,2022-10-07 14:22:50.979764
517744,10077697,2022-12-27 05:38:28.582246
503598,10220209,2022-11-01 22:32:02.525218
523770,10092859,2022-11-18 02:47:47.072530
501944,10204450,2022-09-08 13:18:32.582085
505006,10034302,2022-11-11 20:13:04.827119
513102,10296982,2022-12-07 13:39:19.983942
520380,10008628,2022-10-26 06:29:21.231381
517154,10214557,2022-11-22 11:31:32.664834
520032,10170268,2022-12-15 07:52:58.883415
500328,10228999,2022-09-15 06:02:07.055944
522320,10011319,2022-12-16 16:29:51.052672
511130,10068958,2022-11-08 16:35:54.159097
509290,10003945,2022-12-30 03:35:53.502843
500172,10174993,2022-11-10 04:52:29.945860
524484,10059316,2022-11-19 11:43:57.695277
515578,10218634,2022-10-25 11:44:40.971040
514150,10258666,2022-10-23 16:24:57.842198
512072,10089778,2022-11-17 21:37:34.447500
507844,10180240,2022-10-24 08:17:14.301388
505192,10100404,2022-11-27 03:28:08.328405
510392,10154758,2022-09-25 11:55:18.042529
523298,10260289,2022-10-01 12:52:33.627167
527826,10134646,2022-10-04 19:56:01.601494
526546,10227622,2022-09-11 12:47:21.705233
502198,10024678,2022-10-22 10:09:36.955547
514098,10198078,2022-09-15 01:21:51.741373
523188,10010122,2022-11-08 06:33:29.257637
514162,10242127,2022-12-22 09:32:32.189582
507804,10269895,2022-11-16 20:00:13.656759
515054,10163515,2022-11-17 23:52:19.659356
516970,10184167,2022-10-27 23:53:03.436589
502130,10106689,2022-11-09 09:02:42.547379
502836,10288231,2022-09-02 21:11:11.939610
514880,10248202,2022-12-08 08:08:04.414123
501134,10060963,2022-09-04 20:11:44.395586
506252,10024732,2022-10-09 20:42:36.576696
525474,10062712,2022-10-16 05:17:18.480074
516164,10269391,2022-11-12 10:52:55.208338
514650,10101958,2022-10-18 11:38:19.203256
511336,10115425,2022-12-11 12:29:50.059367
501370,10083553,2022-09-12 05:18:28.095496
525380,10114489,2022-11-30 04:02:39.569717
526966,10119439,2022-10-07 06:27:55.159476
526790,10224964,2022-10-25 11:46:52.629177
519530,10134934,2022-09-19 08:10:48.202017
519424,10009966,2022-09-16 18:28:27.934579
527608,10287850,2022-09-16 19:28:25.087879
505390,10035103,2022-11-11 10:43:47.793808
523420,10004896,2022-12-05 06:26:37.848669
523620,10005145,2022-09-19 06:16:28.167799
511310,10018417,2022-12-18 11:29:05.089816
524076,10153411,2022-09-15 01:43:15.550373
506940,10121125,2022-10-25 15:56:39.921890
522594,10211569,2022-10-27 15:41:08.927486
519258,10175437,2022-11-30 15:31:48.144624
526792,10106164,2022-11-27 21:53:05.178087
514016,10151668,2022-12-15 16:12:30.531578
511464,10113412,2022-09-05 04:11:47.822067
515164,10049443,2022-09-01 19:45:05.710626
514886,10179064,2022-12-20 05:37:06.083946
521732,10223860,2022-10-17 00:07:24.801044
526938,10052518,2022-11-27 00:28:05.277176
517222,10093900,2022-11-14 09:42:24.808958
520184,10251043,2022-09-18 22:38:45.006941
520688,10201123,2022-10-15 02:55:36.802802
521106,10272082,2022-10-15 15:01:15.631284
515644,10242286,2022-11-21 07:36:12.701661
523414,10138777,2022-09-17 04:56:20.867323
513260,10093897,2022-11-20 19:53:53.686779
516160,10007665,2022-10-04 13:44:51.376201
524876,10011481,2022-09-12 17:09:08.254425
505386,10217032,2022-10-30 23:13:06.533666
517732,10009390,2022-12-22 15:36:07.009391
517716,10195549,2022-12-26 06:27:26.921337
525842,10177321,2022-10-10 05:39:26.550030
505256,10290064,2022-09-15 17:34:52.935800
502976,10035883,2022-12-10 08:46:06.769125
510498,10296838,2022-11-28 18:54:50.781815
503160,10045399,2022-11-02 20:22:22.186537
503970,10180402,2022-12-03 01:13:43.654708
520484,10205929,2022-10-12 00:06:35.016889
503000,10102711,2022-09-18 14:52:32.442265
512892,10048210,2022-11-09 22:00:58.576154
518142,10174759,2022-11-02 23:39:47.402018
504962,10217506,2022-11-26 10:00:42.351383
520906,10247584,2022-09-21 16:31:38.293658
515484,10005511,2022-10-12 20:00:11.955060
515096,10090636,2022-09-18 05:43:31.234935
523088,10155082,2022-12-29 19:33:50.452255
501430,10005457,2022-10-05 17:13:13.125155
518200,10228330,2022-10-20 20:08:55.719556
500296,10143325,2022-12-17 12:24:00.409782
511172,10163506,2022-11-03 13:22:54.157052
510884,10184986,2022-09-29 17:11:59.595223
521678,10140418,2022-09-16 20:27:44.523583
510104,10118641,2022-11-10 11:40:39.567776
517470,10016146,2022-10-08 17:21:58.087555
521770,10058017,2022-11-06 17:27:42.565376
506668,10214812,2022-09-13 05:23:16.726201
500986,10266421,2022-09-24 03:15:45.175102
506566,10150333,2022-12-21 10:19:03.142352
526804,10279645,2022-09-11 06:09:27.502069
510458,10040632,2022-09-22 17:11:29.757336
522032,10047265,2022-11-20 09:50:14.337709
501956,10004416,2022-11-08 07:23:20.379661
522250,10017781,2022-09-06 09:45:23.347949
527626,10187767,2022-10-05 09:58:05.210745
519668,10120006,2022-10-20 03:55:20.146021
513246,10042813,2022-12-20 22:53:12.792241
521750,10238917,2022-12-15 21:16:05.577982
512530,10158607,2022-11-15 16:32:49.913871
514706,10042399,2022-09-18 17:05:15.499763
502518,10190002,2022-10-05 20:43:32.109594
523730,10150282,2022-12-29 03:30:49.272986
521118,10058632,2022-10-24 12:23:25.417938
504986,10142473,2022-11-20 20:16:09.567085
